"","x"
"1",NA
"2",0.904761904761905
"3",0.904761904761905
"4",0.853658536585366
"5",0.882352941176471
"6",0.880952380952381
"7",0.904761904761905
"8",0.904761904761905
"9",0.880952380952381
"10",0.833333333333333
"11",0.928571428571429
"12",0.880952380952381
"13",0.928571428571429
"14",0.928571428571429
"15",0.904761904761905
"16",0.927710843373494
"17",0.904761904761905
"18",0.880952380952381
"19",0.904761904761905
"20",0.928571428571429
"21",0.928571428571429
"22",0.880952380952381
"23",0.880952380952381
"24",0.880952380952381
"25",0.904761904761905
"26",0.927710843373494
"27",0.928571428571429
"28",0.928571428571429
"29",0.928571428571429
"30",0.929411764705882
"31",0.904761904761905
"32",0.904761904761905
"33",0.928571428571429
"34",0.904761904761905
"35",0.928571428571429
