"","x"
"1",NA
"2",0.871414141414141
"3",0.915858585858586
"4",0.827878787878788
"5",0.855656565656566
"6",0.849191919191919
"7",0.872323232323232
"8",0.871414141414141
"9",0.871414141414141
"10",0.804747474747475
"11",0.894545454545455
"12",0.849191919191919
"13",0.893636363636364
"14",0.894545454545455
"15",0.872323232323232
"16",0.887171717171717
"17",0.872323232323232
"18",0.85010101010101
"19",0.871414141414141
"20",0.894545454545455
"21",0.894545454545455
"22",0.849191919191919
"23",0.871414141414141
"24",0.85010101010101
"25",0.871414141414141
"26",0.901010101010101
"27",0.893636363636364
